batter,Player,Team,Position,Signal,Luck Score,wOBA,xwOBA,xwOBA Gap,Ownership %,FP Rank,CBS Rank,CBS FPTS,Type,pitcher,ERA,FIP,xERA
672012.0,Tyler Black,MIL,2B,Neutral,0.0,0.443,0.182,-0.261,0.5,,300.0,20.5,Hitter,,,,
672356.0,Gabriel Arias,CLE,SS,Neutral,0.0,0.302,0.335,0.033,0.32,,316.0,15.0,Hitter,,,,
664059.0,Sam Haggerty,TEX,,Neutral,0.0,0.211,0.189,-0.022,0.04,,,,Hitter,,,,
694025.0,Felix Reyes,PHI,,Neutral,0.0,0.18,0.275,0.095,0.22,,,,Hitter,,,,
682622.0,Noelvi Marte,CIN,3B,Neutral,0.0,0.203,0.171,-0.032,6.54,,354.0,4.0,Hitter,,,,
596117.0,Garrett Stubbs,PHI,C,Neutral,0.0,0.253,0.267,0.014,0.08,,342.0,7.0,Hitter,,,,
672284.0,Jarred Kelenic,CWS,,Neutral,0.0,0.333,0.427,0.094,0.06,,,,Hitter,,,,
687515.0,Colby Thomas,ATH,,Neutral,0.0,0.327,0.343,0.016,0.12,,,,Hitter,,,,
805249.0,Otto Kemp,PHI,3B,Neutral,0.0,0.145,0.227,0.082,0.18,,374.0,-0.5,Hitter,,,,
675659.0,Greg Jones,MIL,,Neutral,0.0,0.091,0.176,0.085,0.02,,,,Hitter,,,,
672386.0,Alejandro Kirk,TOR,C,Neutral,0.0,0.252,0.353,0.101,40.54,,326.0,12.0,Hitter,,,,
656582.0,Connor Joe,SEA,,Neutral,0.0,0.325,0.384,0.059,0.04,,,,Hitter,,,,
502054.0,Tommy Pham,NYM,,Neutral,0.0,0.05,0.137,0.087,0.05,,,,Hitter,,,,
664238.0,Dylan Moore,PHI,LF,Neutral,0.0,0.14,0.233,0.093,0.13,,348.0,5.0,Hitter,,,,
700246.0,Carson Williams,TB,SS,Neutral,0.0,0.188,0.22,0.032,0.53,,340.0,7.5,Hitter,,,,
668952.0,Ryan Kreidler,MIN,,Neutral,0.0,0.447,0.499,0.052,0.08,,,,Hitter,,,,
624431.0,Jose Trevino,CIN,C,Neutral,0.0,0.188,0.221,0.033,0.1,,356.0,3.0,Hitter,,,,
628451.0,Andy Ibáñez,ATH,2B,Neutral,0.0,0.162,0.185,0.023,0.05,,344.0,6.5,Hitter,,,,
642215.0,Weston Wilson,BAL,LF,Neutral,0.0,0.364,0.362,-0.002,0.02,,310.0,17.0,Hitter,,,,
691011.0,Drew Romo,CWS,C,Neutral,0.0,0.519,0.576,0.057,0.4,,294.0,25.5,Hitter,,,,
682641.0,Luis Matos,MIL,,Neutral,0.0,0.205,0.13,-0.075,0.06,,,,Hitter,,,,
668709.0,Jj Bleday,CIN,,Neutral,0.0,0.522,0.624,0.102,5.13,,,,Hitter,,,,
666624.0,Christopher Morel,MIA,,Neutral,0.0,0.312,0.295,-0.017,0.35,,,,Hitter,,,,
665923.0,Esteury Ruiz,MIA,,Neutral,0.0,0.41,0.416,0.006,0.41,,,,Hitter,,,,
663624.0,Ryan Mountcastle,BAL,1B,Neutral,0.0,0.31,0.301,-0.009,0.4,,346.0,6.0,Hitter,,,,
650968.0,Yohel Pozo,STL,C,Neutral,0.0,0.179,0.247,0.068,0.06,,345.0,6.0,Hitter,,,,
669288.0,Daniel Johnson,HOU,,Neutral,0.0,0.229,0.34,0.111,0.01,,,,Hitter,,,,
691783.0,Jordan Lawlar,AZ,SS,Neutral,0.0,0.412,0.377,-0.035,2.94,,313.0,16.0,Hitter,,,,
600869.0,Jeimer Candelario,LAA,3B,Neutral,0.0,0.195,0.216,0.021,0.07,,350.0,5.0,Hitter,,,,
676694.0,Jake Meyers,HOU,,Neutral,-0.0007,0.349,0.353,0.004,0.52,,,,Hitter,,,,
571448.0,Nolan Arenado,AZ,3B,Neutral,-0.0011,0.348,0.343,-0.005,15.91,,119.0,79.0,Hitter,,,,
545341.0,Randal Grichuk,NYY,,Neutral,-0.0017,0.233,0.338,0.105,0.07,,,,Hitter,,,,
671655.0,George Valera,CLE,,Neutral,-0.002,0.259,0.198,-0.061,0.14,,,,Hitter,,,,
677595.0,Ronny Mauricio,NYM,2B,Neutral,-0.002,0.231,0.24,0.009,0.27,,335.0,9.0,Hitter,,,,
646240.0,Rafael Devers,SF,3B,Neutral,-0.0024,0.253,0.26,0.007,68.74,16.0,213.0,52.0,Hitter,,,,
672820.0,Lenyn Sosa,TOR,2B,Neutral,-0.0024,0.263,0.28,0.017,0.91,,267.0,36.5,Hitter,,,,
805779.0,Jacob Wilson,ATH,SS,Neutral,-0.0027,0.322,0.296,-0.026,59.93,,100.0,85.0,Hitter,,,,
666464.0,Jerar Encarnacion,SF,,Neutral,-0.003,0.184,0.21,0.026,0.06,,,,Hitter,,,,
667472.0,Dane Myers,CIN,,Neutral,-0.0034,0.373,0.466,0.093,0.17,,,,Hitter,,,,
518595.0,Travis D'arnaud,LAA,C,Neutral,-0.0036,0.267,0.302,0.035,0.13,,325.0,12.5,Hitter,,,,
657136.0,Connor Wong,BOS,C,Neutral,-0.0036,0.315,0.266,-0.049,0.28,,285.0,29.0,Hitter,,,,
665877.0,José Fermín,STL,2B,Neutral,-0.0042,0.334,0.316,-0.018,0.01,,305.0,19.0,Hitter,,,,
668901.0,Mark Vientos,NYM,DH,Neutral,-0.0044,0.314,0.356,0.042,4.23,,197.0,57.0,Hitter,,,,
677942.0,Blaze Alexander,BAL,SS,Neutral,-0.0052,0.256,0.313,0.057,0.23,,288.0,28.0,Hitter,,,,
643396.0,Isiah Kiner-falefa,BOS,CF,Neutral,-0.0055,0.22,0.278,0.058,0.26,,304.0,19.5,Hitter,,,,
668670.0,Jake Rogers,DET,C,Neutral,-0.0057,0.222,0.258,0.036,0.14,,311.0,17.0,Hitter,,,,
664702.0,Myles Straw,TOR,CF,Neutral,-0.0061,0.361,0.404,0.043,0.22,,215.0,51.0,Hitter,,,,
680777.0,Ryan Jeffers,MIN,C,Neutral,-0.0065,0.4,0.394,-0.006,28.62,,74.0,91.5,Hitter,,,,
686780.0,Pedro Pagés,STL,C,Neutral,-0.0068,0.301,0.308,0.007,0.71,,235.0,45.5,Hitter,,,,
666969.0,Adolis García,PHI,RF,Neutral,-0.0068,0.315,0.35,0.035,12.64,,168.0,66.0,Hitter,,,,
543510.0,James Mccann,AZ,C,Neutral,-0.0075,0.193,0.187,-0.006,0.09,,323.0,13.5,Hitter,,,,
650333.0,Luis Arráez,SF,2B,Neutral,-0.0076,0.338,0.299,-0.039,69.64,,88.0,89.0,Hitter,,,,
681546.0,James Outman,MIN,,Neutral,-0.008,0.173,0.186,0.013,0.06,,,,Hitter,,,,
669065.0,Kyle Stowers,MIA,,Neutral,-0.008,0.277,0.302,0.025,35.17,,,,Hitter,,,,
650391.0,Eloy Jiménez,TOR,,Neutral,-0.0082,0.291,0.256,-0.035,0.1,,,,Hitter,,,,
596103.0,Austin Slater,MIA,,Neutral,-0.0082,0.255,0.239,-0.016,0.03,,,,Hitter,,,,
666971.0,Lourdes Gurriel,AZ,,Neutral,-0.0083,0.296,0.306,0.01,1.85,,,,Hitter,,,,
624512.0,Reese Mcguire,CWS,C,Neutral,-0.0085,0.227,0.247,0.02,0.05,,336.0,8.5,Hitter,,,,
678009.0,Parker Meadows,DET,,Neutral,-0.0086,0.296,0.255,-0.041,0.56,,,,Hitter,,,,
686668.0,Brenton Doyle,COL,,Neutral,-0.0094,0.274,0.256,-0.018,7.37,,,,Hitter,,,,
676391.0,Ernie Clement,TOR,SS,Neutral,-0.0099,0.313,0.288,-0.025,70.79,,117.0,79.0,Hitter,,,,
642715.0,Willy Adames,SF,SS,Neutral,-0.0107,0.259,0.283,0.024,56.29,25.0,217.0,51.0,Hitter,,,,
695578.0,James Wood,WSH,LF,Neutral,-0.0112,0.396,0.455,0.059,96.25,26.0,7.0,139.0,Hitter,,,,
680869.0,Zack Gelof,ATH,2B,Neutral,-0.0115,0.311,0.328,0.017,0.42,,272.0,35.0,Hitter,,,,
683146.0,Brett Baty,NYM,3B,Neutral,-0.0117,0.272,0.29,0.018,3.52,,219.0,50.5,Hitter,,,,
694671.0,Wyatt Langford,TEX,,Neutral,-0.0119,0.293,0.306,0.013,63.59,,,,Hitter,,,,
656537.0,Derek Hill,CWS,,Neutral,-0.0136,0.317,0.377,0.06,0.06,,,,Hitter,,,,
500743.0,Miguel Rojas,LAD,SS,Neutral,-0.0136,0.329,0.351,0.022,1.08,,287.0,29.0,Hitter,,,,
595879.0,Javier Báez,DET,SS,Neutral,-0.014,0.288,0.316,0.028,3.89,,243.0,43.0,Hitter,,,,
680977.0,Brendan Donovan,SEA,2B,Neutral,-0.0146,0.391,0.375,-0.016,61.05,,209.0,53.0,Hitter,,,,
682829.0,Elly De la cruz,CIN,SS,Neutral,-0.0161,0.394,0.397,0.003,99.53,9.0,10.0,134.5,Hitter,,,,
663698.0,Joey Bart,PIT,C,Neutral,-0.0164,0.251,0.253,0.002,0.26,,315.0,15.0,Hitter,,,,
665804.0,Miguel Amaya,CHC,C,Neutral,-0.0166,0.346,0.316,-0.03,0.85,,254.0,38.5,Hitter,,,,
457705.0,Andrew Mccutchen,TEX,,Neutral,-0.0171,0.269,0.25,-0.019,0.24,,,,Hitter,,,,
606192.0,Teoscar Hernández,LAD,RF,Neutral,-0.0178,0.306,0.333,0.027,66.71,,132.0,74.5,Hitter,,,,
666211.0,Taylor Trammell,HOU,,Neutral,-0.0182,0.389,0.29,-0.099,0.05,,,,Hitter,,,,
678391.0,Jorbit Vivas,WSH,2B,Neutral,-0.0185,0.305,0.281,-0.024,0.11,,252.0,39.0,Hitter,,,,
672016.0,Denzel Clarke,ATH,,Neutral,-0.0185,0.197,0.205,0.008,0.19,,,,Hitter,,,,
691718.0,Pete Crow-armstrong,CHC,CF,Neutral,-0.0211,0.29,0.313,0.023,92.36,,96.0,86.5,Hitter,,,,
642086.0,Dominic Smith,ATL,1B,Neutral,-0.0214,0.374,0.424,0.05,5.13,,177.0,63.5,Hitter,,,,
545361.0,Mike Trout,LAA,CF,Neutral,-0.0232,0.427,0.47,0.043,97.47,12.0,4.0,154.5,Hitter,,,,
516782.0,Starling Marte,KC,,Neutral,-0.0233,0.307,0.267,-0.04,0.48,,,,Hitter,,,,
694728.0,Brice Matthews,HOU,SS,Neutral,-0.0238,0.319,0.292,-0.027,1.92,,238.0,44.5,Hitter,,,,
641598.0,Mitch Garver,SEA,DH,Neutral,-0.0247,0.288,0.299,0.011,0.13,,306.0,18.5,Hitter,,,,
669743.0,Alex Call,LAD,,Neutral,-0.0247,0.414,0.345,-0.069,0.19,,,,Hitter,,,,
687551.0,Drew Gilbert,SF,,Neutral,-0.0248,0.301,0.29,-0.011,0.24,,,,Hitter,,,,
643376.0,Danny Jansen,TEX,C,Neutral,-0.0267,0.286,0.264,-0.022,0.57,,269.0,35.5,Hitter,,,,
686527.0,Dominic Canzone,SEA,LF,Neutral,-0.0282,0.317,0.356,0.039,3.43,,192.0,58.5,Hitter,,,,
650490.0,Yandy Díaz,TB,1B,Neutral,-0.0284,0.385,0.41,0.025,87.82,,30.0,114.0,Hitter,,,,
681297.0,Colton Cowser,BAL,,Neutral,-0.0286,0.258,0.282,0.024,1.66,,,,Hitter,,,,
573262.0,Mike Yastrzemski,ATL,,Neutral,-0.0289,0.259,0.26,0.001,1.49,,,,Hitter,,,,
807799.0,Masataka Yoshida,BOS,,Neutral,-0.0295,0.375,0.288,-0.087,0.93,,,,Hitter,,,,
669326.0,Bryce Teodosio,LAA,,Neutral,-0.0296,0.261,0.209,-0.052,0.04,,,,Hitter,,,,
664023.0,Ian Happ,CHC,LF,Neutral,-0.0306,0.387,0.367,-0.02,83.78,37.0,38.0,110.0,Hitter,,,,
700932.0,Kyle Manzardo,CLE,1B,Neutral,-0.0313,0.255,0.288,0.033,3.23,,261.0,37.0,Hitter,,,,
665926.0,Andrés Giménez,TOR,2B,Neutral,-0.0314,0.304,0.281,-0.023,18.67,,110.0,81.5,Hitter,,,,
805808.0,Kevin Mcgonigle,DET,SS,Neutral,-0.0338,0.373,0.393,0.02,88.59,,23.0,122.0,Hitter,,,,
641584.0,Jake Fraley,TB,,Neutral,-0.035,0.33,0.301,-0.029,0.16,,,,Hitter,,,,
624424.0,Michael Conforto,CHC,,Neutral,-0.0354,0.421,0.443,0.022,0.21,,,,Hitter,,,,
681807.0,David Fry,CLE,C,Neutral,-0.0358,0.395,0.396,0.001,0.16,,260.0,37.0,Hitter,,,,
687221.0,Dalton Rushing,LAD,C,Neutral,-0.0364,0.492,0.487,-0.005,20.56,,150.0,69.0,Hitter,,,,
808982.0,Jung hoo Lee,SF,CF,Neutral,-0.0372,0.329,0.333,0.004,37.28,,118.0,79.0,Hitter,,,,
677592.0,Everson Pereira,CWS,,Neutral,-0.0373,0.343,0.348,0.005,0.34,,,,Hitter,,,,
668723.0,Ryan Vilade,TB,LF,Neutral,-0.0382,0.384,0.325,-0.059,0.06,,279.0,31.5,Hitter,,,,
663743.0,Nick Fortes,TB,C,Neutral,-0.0393,0.277,0.305,0.028,2.66,,242.0,43.0,Hitter,,,,
641343.0,Jake Bauers,MIL,RF,Neutral,-0.0393,0.322,0.35,0.028,20.29,,69.0,93.5,Hitter,,,,
682928.0,Cj Abrams,WSH,SS,Neutral,-0.0394,0.406,0.419,0.013,93.46,,13.0,131.5,Hitter,,,,
694212.0,Samuel Basallo,BAL,C,Neutral,-0.0395,0.345,0.359,0.014,19.54,,165.0,66.5,Hitter,,,,
665487.0,Fernando Tatís,SD,RF,Neutral,-0.0402,0.289,0.351,0.062,99.35,,,77.5,Hitter,,,,
676356.0,Jonny Deluca,TB,LF,Neutral,-0.0419,0.312,0.305,-0.007,0.61,,183.0,61.0,Hitter,,,,
677594.0,Julio Rodríguez,SEA,CF,Neutral,-0.0431,0.338,0.336,-0.002,0.09,15.0,72.0,92.0,Hitter,,,,
666018.0,Jonathan Aranda,TB,1B,Neutral,-0.0443,0.361,0.376,0.015,29.8,,39.0,110.0,Hitter,,,,
670623.0,Isaac Paredes,HOU,3B,Neutral,-0.0476,0.357,0.336,-0.021,34.74,,103.0,83.0,Hitter,,,,
643289.0,Mauricio Dubón,ATL,2B,Neutral,-0.0498,0.349,0.327,-0.022,54.4,,87.0,89.0,Hitter,,,,
702284.0,Cole Young,SEA,SS,Neutral,-0.0511,0.323,0.347,0.024,13.79,,97.0,86.5,Hitter,,,,
666160.0,Mickey Moniak,COL,CF,Neutral,-0.0521,0.464,0.412,-0.052,65.27,,36.0,112.5,Hitter,,,,
691781.0,Brady House,WSH,3B,Neutral,-0.0536,0.293,0.307,0.014,1.81,,176.0,64.0,Hitter,,,,
694208.0,Moisés Ballesteros,CHC,,Neutral,-0.0545,0.419,0.413,-0.006,12.82,,,,Hitter,,,,
669134.0,Luis Campusano,SD,C,Neutral,-0.0573,0.42,0.379,-0.041,0.84,,225.0,48.5,Hitter,,,,
676439.0,Hunter Feduccia,TB,C,Neutral,-0.0601,0.336,0.296,-0.04,0.09,,301.0,20.0,Hitter,,,,
807713.0,Matt Shaw,CHC,SS,Neutral,-0.0612,0.361,0.364,0.003,3.29,,194.0,58.0,Hitter,,,,
666152.0,David Hamilton,MIL,SS,Neutral,-0.0617,0.278,0.276,-0.002,0.95,,188.0,60.0,Hitter,,,,
621043.0,Carlos Correa,HOU,SS,Neutral,-0.0624,0.364,0.383,0.019,39.35,39.0,66.0,96.0,Hitter,,,,
808975.0,Hyeseong Kim,LAD,,Neutral,-0.0638,0.343,0.359,0.016,3.36,,,,Hitter,,,,
687263.0,Zach Neto,LAA,,Neutral,-0.0655,0.335,0.342,0.007,65.93,,,,Hitter,,,,
669004.0,Mj Melendez,NYM,,Neutral,-0.0656,0.385,0.332,-0.053,0.52,,,,Hitter,,,,
624585.0,Jorge Soler,LAA,DH,Neutral,-0.0679,0.353,0.349,-0.004,21.69,,63.0,97.5,Hitter,,,,
665750.0,Leody Taveras,BAL,CF,Neutral,-0.0711,0.359,0.363,0.004,1.67,,152.0,68.5,Hitter,,,,
595978.0,Austin Hedges,CLE,C,Neutral,-0.0711,0.374,0.326,-0.048,0.16,,281.0,31.0,Hitter,,,,
657656.0,Ramón Laureano,SD,RF,Neutral,-0.0737,0.309,0.339,0.03,21.87,,95.0,86.5,Hitter,,,,
656484.0,Tristan Gray,MIN,SS,Neutral,-0.0776,0.33,0.348,0.018,0.44,,249.0,40.0,Hitter,,,,
656811.0,Ryan O'hearn,PIT,1B,Neutral,-0.0798,0.366,0.39,0.024,79.52,,46.0,107.0,Hitter,,,,
810938.0,Ben Williamson,TB,3B,Neutral,-0.0815,0.294,0.292,-0.002,0.42,,182.0,61.5,Hitter,,,,
694388.0,Joey Loperfido,HOU,,Neutral,-0.0823,0.305,0.27,-0.035,0.36,,,,Hitter,,,,
553993.0,Eugenio Suárez,CIN,3B,Neutral,-0.0848,0.345,0.305,-0.04,63.55,,228.0,48.0,Hitter,,,,
696030.0,Alejandro Osuna,TEX,,Neutral,,0.34,0.345,0.005,0.06,,,,Hitter,,,,
677870.0,Leo Jimenez,MIA,,Neutral,,0.295,0.313,0.018,0.03,,,,Hitter,,,,
682663.0,Agustín Ramírez,MIA,C,Slight sell,-0.0869,0.303,0.292,-0.011,54.85,,135.0,73.0,Hitter,,,,
682657.0,Angel Martínez,CLE,SS,Slight sell,-0.0872,0.339,0.362,0.023,22.42,,104.0,83.0,Hitter,,,,
592885.0,Christian Yelich,MIL,,Slight sell,-0.0877,0.353,0.28,-0.073,82.83,32.0,,,Hitter,,,,
621566.0,Matt Olson,ATL,1B,Slight sell,-0.089,0.441,0.437,-0.004,99.08,30.0,1.0,168.5,Hitter,,,,
575929.0,Willson Contreras,BOS,C,Slight sell,-0.0891,0.387,0.427,0.04,28.5,,42.0,108.0,Hitter,,,,
702222.0,Justin Crawford,PHI,CF,Slight sell,-0.0904,0.32,0.286,-0.034,4.98,,193.0,58.0,Hitter,,,,
643446.0,Jeff Mcneil,ATH,2B,Slight sell,-0.0912,0.353,0.347,-0.006,9.19,,145.0,70.0,Hitter,,,,
665489.0,Vladimir Guerrero,TOR,1B,Slight sell,-0.0939,0.372,0.377,0.005,99.81,,,107.0,Hitter,,,,
650489.0,Willi Castro,COL,LF,Slight sell,-0.0955,0.286,0.28,-0.006,6.1,,229.0,48.0,Hitter,,,,
543877.0,Christian Vázquez,HOU,C,Slight sell,-0.0978,0.356,0.295,-0.061,1.03,,237.0,44.5,Hitter,,,,
683357.0,Owen Caissie,MIA,,Slight sell,-0.1017,0.261,0.282,0.021,3.91,,,,Hitter,,,,
622761.0,Jorge Mateo,ATL,SS,Slight sell,-0.1017,0.338,0.283,-0.055,0.48,,255.0,38.0,Hitter,,,,
669364.0,Xavier Edwards,MIA,2B,Slight sell,-0.1034,0.399,0.372,-0.027,87.47,,27.0,116.5,Hitter,,,,
666176.0,Jo Adell,LAA,RF,Slight sell,-0.1051,0.28,0.31,0.03,42.17,,105.0,82.5,Hitter,,,,
673548.0,Seiya Suzuki,CHC,RF,Slight sell,-0.1061,0.402,0.412,0.01,85.05,,121.0,78.5,Hitter,,,,
643217.0,Andrew Benintendi,CWS,LF,Slight sell,-0.1091,0.287,0.317,0.03,2.37,,205.0,54.5,Hitter,,,,
677588.0,José Tena,WSH,3B,Slight sell,-0.1109,0.338,0.302,-0.036,0.05,,256.0,37.5,Hitter,,,,
670764.0,Taylor Walls,TB,3B,Slight sell,-0.1113,0.269,0.241,-0.028,0.19,,241.0,43.5,Hitter,,,,
645277.0,Ozzie Albies,ATL,2B,Slight sell,-0.1122,0.408,0.372,-0.036,96.19,,14.0,131.5,Hitter,,,,
678882.0,Ceddanne Rafaela,BOS,CF,Slight sell,-0.1154,0.33,0.314,-0.016,36.14,,140.0,71.0,Hitter,,,,
669016.0,Brandon Marsh,PHI,CF,Slight sell,-0.1167,0.359,0.356,-0.003,13.78,,82.0,90.5,Hitter,,,,
677649.0,Ezequiel Duran,TEX,SS,Slight sell,-0.1212,0.364,0.328,-0.036,0.89,,189.0,59.5,Hitter,,,,
624428.0,Adam Frazier,LAA,2B,Slight sell,-0.123,0.32,0.253,-0.067,0.18,,253.0,38.5,Hitter,,,,
677800.0,Wilyer Abreu,BOS,CF,Slight sell,-0.1237,0.39,0.411,0.021,58.98,,52.0,105.0,Hitter,,,,
691026.0,Masyn Winn,STL,SS,Slight sell,-0.124,0.346,0.326,-0.02,8.5,,112.0,81.5,Hitter,,,,
686948.0,Drake Baldwin,ATL,C,Slight sell,-0.1284,0.394,0.415,0.021,97.87,,6.0,145.5,Hitter,,,,
690976.0,Alex Freeland,LAD,SS,Slight sell,-0.1318,0.315,0.33,0.015,0.66,,233.0,45.5,Hitter,,,,
571970.0,Max Muncy,LAD,,Slight sell,-0.1343,0.4,0.448,0.048,5.99,,207.0,,Hitter,,,,
621493.0,Taylor Ward,BAL,LF,Slight sell,-0.1363,0.396,0.388,-0.008,84.59,,44.0,107.5,Hitter,,,,
802415.0,Chandler Simpson,TB,CF,Slight sell,-0.1481,0.3,0.264,-0.036,51.39,,76.0,91.5,Hitter,,,,
607043.0,Brandon Nimmo,TEX,CF,Slight sell,-0.1483,0.376,0.382,0.006,81.63,,81.0,90.5,Hitter,,,,
686797.0,Brooks Lee,MIN,SS,Slight sell,-0.16,0.362,0.313,-0.049,12.57,,93.0,87.0,Hitter,,,,
691594.0,Javier Sanoja,MIA,SS,Slight sell,-0.1618,0.343,0.259,-0.084,4.56,,245.0,42.0,Hitter,,,,
663968.0,Jake Mangum,PIT,,Slight sell,-0.1647,0.317,0.281,-0.036,0.54,,,,Hitter,,,,
609280.0,Miguel Andújar,SD,RF,Slight sell,-0.1673,0.394,0.324,-0.07,2.31,,181.0,61.5,Hitter,,,,
676609.0,José Caballero,NYY,2B,Sell high,-0.1518,0.332,0.291,-0.041,43.52,,65.0,97.5,Hitter,,,,
673962.0,Josh Jung,TEX,3B,Sell high,-0.1536,0.419,0.414,-0.005,36.21,,61.0,98.5,Hitter,,,,
695506.0,Jac Caglianone,KC,1B,Sell high,-0.155,0.333,0.342,0.009,26.06,,187.0,60.5,Hitter,,,,
686555.0,Isaac Collins,KC,LF,Sell high,-0.1589,0.349,0.348,-0.001,0.78,,171.0,65.0,Hitter,,,,
668930.0,Brice Turang,MIL,2B,Sell high,-0.1592,0.411,0.434,0.023,97.67,24.0,11.0,134.0,Hitter,,,,
671976.0,Tristan Peters,CWS,,Sell high,-0.162,0.304,0.28,-0.024,0.18,,,,Hitter,,,,
519317.0,Giancarlo Stanton,NYY,DH,Sell high,-0.1626,0.32,0.328,0.008,27.83,,208.0,53.5,Hitter,,,,
668804.0,Bryan Reynolds,PIT,LF,Sell high,-0.1674,0.373,0.361,-0.012,71.19,,34.0,113.5,Hitter,,,,
681393.0,Connor Norby,MIA,2B,Sell high,-0.1683,0.326,0.321,-0.005,1.46,,191.0,59.0,Hitter,,,,
682998.0,Corbin Carroll,AZ,LF,Sell high,-0.1693,0.384,0.358,-0.026,99.67,8.0,49.0,105.5,Hitter,,,,
701762.0,Nick Kurtz,ATH,1B,Sell high,-0.1764,0.362,0.389,0.027,96.34,,62.0,98.5,Hitter,,,,
686894.0,Joey Wiemer,WSH,CF,Sell high,-0.1795,0.36,0.287,-0.073,6.55,,218.0,50.5,Hitter,,,,
666397.0,Edouard Julien,COL,2B,Sell high,-0.1812,0.347,0.36,0.013,1.17,,169.0,65.5,Hitter,,,,
805367.0,Chase Meidroth,CWS,SS,Sell high,-0.1868,0.312,0.3,-0.012,3.93,,130.0,75.0,Hitter,,,,
687859.0,Troy Johnston,COL,RF,Sell high,-0.1934,0.366,0.328,-0.038,5.21,,133.0,73.5,Hitter,,,,
664728.0,Kyle Isbel,KC,CF,Sell high,-0.2016,0.341,0.332,-0.009,4.06,,173.0,65.0,Hitter,,,,
572233.0,Christian Walker,HOU,1B,Sell high,-0.2027,0.426,0.406,-0.02,78.15,,17.0,130.0,Hitter,,,,
671218.0,Heliot Ramos,SF,LF,Sell high,-0.206,0.32,0.344,0.024,16.26,,163.0,67.0,Hitter,,,,
665833.0,Oneil Cruz,PIT,SS,Sell high,-0.214,0.364,0.386,0.022,91.37,,20.0,128.0,Hitter,,,,
666126.0,Carlos Cortes,ATH,LF,Sell high,-0.218,0.467,0.449,-0.018,21.32,,124.0,76.5,Hitter,,,,
690993.0,Colt Keith,DET,3B,Sell high,-0.22,0.339,0.337,-0.002,9.28,,186.0,60.5,Hitter,,,,
663616.0,Trevor Larnach,MIN,LF,Sell high,-0.2242,0.399,0.345,-0.054,2.63,,144.0,70.5,Hitter,,,,
608348.0,Carson Kelly,CHC,C,Sell high,-0.2267,0.385,0.341,-0.044,11.14,,151.0,69.0,Hitter,,,,
699912.0,Jose Fernandez,AZ,SS,Sell high,-0.2303,0.359,0.32,-0.039,5.69,,164.0,66.5,Hitter,,,,
670042.0,Luke Raley,SEA,RF,Sell high,-0.2313,0.352,0.384,0.032,6.42,,179.0,63.5,Hitter,,,,
668227.0,Randy Arozarena,SEA,LF,Sell high,-0.2321,0.343,0.346,0.003,90.3,,43.0,108.0,Hitter,,,,
804606.0,Konnor Griffin,PIT,SS,Sell high,-0.2412,0.342,0.331,-0.011,48.37,,113.0,81.0,Hitter,,,,
669127.0,Shea Langeliers,ATH,C,Sell high,-0.248,0.436,0.439,0.003,97.35,,24.0,122.0,Hitter,,,,
669477.0,Casey Schmitt,SF,SS,Sell high,-0.2514,0.396,0.395,-0.001,17.56,,68.0,94.0,Hitter,,,,
668885.0,Austin Martin,MIN,SS,Sell high,-0.2634,0.416,0.381,-0.035,1.28,,147.0,69.5,Hitter,,,,
669003.0,Garrett Mitchell,MIL,CF,Sell high,-0.2722,0.323,0.336,0.013,6.0,,128.0,76.0,Hitter,,,,
691777.0,Max Muncy,ATH,SS,Sell high,-0.2759,0.318,0.315,-0.003,5.99,,207.0,53.5,Hitter,,,,
693304.0,Nick Gonzales,PIT,2B,Sell high,-0.2778,0.331,0.335,0.004,4.52,,127.0,76.0,Hitter,,,,
681624.0,Andy Pages,LAD,CF,Sell high,-0.2793,0.378,0.37,-0.008,93.06,,26.0,117.0,Hitter,,,,
682985.0,Riley Greene,DET,CF,Sell high,-0.3001,0.381,0.4,0.019,86.68,34.0,55.0,104.0,Hitter,,,,
663604.0,Brandon Lockridge,MIL,OF,Sell high,-0.3064,0.328,0.264,-0.064,0.33,,210.0,52.5,Hitter,,,,
656305.0,Matt Chapman,SF,3B,Sell high,-0.3112,0.306,0.281,-0.025,69.07,,159.0,67.5,Hitter,,,,
672640.0,Otto Lopez,MIA,SS,Sell high,-0.3142,0.407,0.373,-0.034,74.34,,35.0,113.0,Hitter,,,,
700250.0,Ben Rice,NYY,1B,Sell high,-0.3166,0.512,0.515,0.003,99.13,,5.0,151.0,Hitter,,,,
691023.0,Jordan Walker,STL,RF,Sell high,-0.3308,0.424,0.428,0.004,89.35,,8.0,135.5,Hitter,,,,
545121.0,Ildemaro Vargas,AZ,3B,Sell high,-0.3872,0.452,0.424,-0.028,73.79,,41.0,108.5,Hitter,,,,
682177.0,Daniel Schneemann,CLE,2B,Sell high,-0.4196,0.357,0.359,0.002,10.07,,167.0,66.5,Hitter,,,,
672724.0,Oswald Peraza,LAA,3B,Sell high,-0.4655,0.364,0.37,0.006,2.93,,162.0,67.0,Hitter,,,,
,Jesús Luzardo,PHI,,Buy low,0.723,,,,92.03,,62.0,,Pitcher,666200.0,4.72,2.6,2.81
,Joe Ryan,MIN,,Buy low,0.4279,,,,93.48,,64.0,,Pitcher,657746.0,4.78,2.87,2.711
,David Peterson,NYM,,Buy low,0.3893,,,,3.9,,,,Pitcher,656849.0,5.82,3.15,4.939
